epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.304,4.39005,5.49139,4.15073,0.80036,0.00021,6e-05,2e-05,4.0787,19.5266,3.53931,0.00331349,0.00331349,0.00331349
2,380.182,3.21627,3.19091,2.55891,0.56762,0.05173,0.04182,0.01652,2.55572,2.50021,1.97379,0.00661392,0.00661392,0.00661392
3,564.305,2.4152,2.22199,1.81147,0.67999,0.08928,0.07847,0.03371,2.1039,2.4928,1.64711,0.00988136,0.00988136,0.00988136
4,748.147,2.08588,1.79565,1.56728,0.48046,0.13494,0.12389,0.05804,1.88545,1.64686,1.48584,0.0098515,0.0098515,0.0098515
5,930.936,1.90301,1.54619,1.45662,0.59716,0.15556,0.15835,0.07764,1.69322,1.40564,1.35366,0.009802,0.009802,0.009802
6,1114.49,1.78614,1.39948,1.38415,0.45572,0.18482,0.16741,0.08125,1.66228,1.3429,1.33762,0.0097525,0.0097525,0.0097525
7,1296.36,1.70745,1.30241,1.34249,0.38314,0.21302,0.21169,0.10733,1.52073,1.14653,1.25965,0.009703,0.009703,0.009703
8,1479.41,1.65094,1.23602,1.30904,0.27485,0.2867,0.23527,0.11868,1.51177,1.11429,1.24595,0.0096535,0.0096535,0.0096535
9,1662.07,1.60931,1.18124,1.2826,0.35972,0.24459,0.24417,0.12548,1.47606,1.11652,1.22253,0.009604,0.009604,0.009604
10,1844.93,1.5663,1.14621,1.26234,0.35956,0.25948,0.25834,0.13526,1.44444,1.07001,1.20777,0.0095545,0.0095545,0.0095545
11,2030.16,1.54605,1.11606,1.24745,0.49198,0.28338,0.26662,0.14002,1.39435,1.03167,1.17902,0.009505,0.009505,0.009505
12,2214.25,1.52275,1.08974,1.23861,0.36234,0.28362,0.27947,0.14745,1.40445,0.99866,1.18326,0.0094555,0.0094555,0.0094555
13,2398.99,1.50153,1.06664,1.222,0.44504,0.298,0.30034,0.15856,1.37319,0.99217,1.16323,0.009406,0.009406,0.009406
14,2583.81,1.47667,1.04082,1.21185,0.36568,0.34199,0.30978,0.16497,1.36102,0.99665,1.15187,0.0093565,0.0093565,0.0093565
15,2768.41,1.46057,1.02413,1.20297,0.41637,0.31994,0.31248,0.16769,1.33598,0.96591,1.14209,0.009307,0.009307,0.009307
16,2954.16,1.4532,1.01151,1.19352,0.43003,0.3063,0.32208,0.17581,1.31718,0.93255,1.12816,0.0092575,0.0092575,0.0092575
17,3138.15,1.43257,0.99498,1.18539,0.55535,0.30176,0.33591,0.18474,1.30362,0.90599,1.12009,0.009208,0.009208,0.009208
18,3322.25,1.42535,0.9827,1.17917,0.44344,0.32646,0.32841,0.18176,1.29989,0.93004,1.12055,0.0091585,0.0091585,0.0091585
19,3508.86,1.4139,0.97247,1.17021,0.45611,0.3201,0.34186,0.19106,1.29524,0.90051,1.11275,0.009109,0.009109,0.009109
20,3692.14,1.4064,0.96216,1.17047,0.42176,0.32064,0.33984,0.18907,1.2845,0.8996,1.10891,0.0090595,0.0090595,0.0090595
21,3877.82,1.40005,0.95733,1.16207,0.48653,0.32941,0.36443,0.20391,1.27351,0.88151,1.10267,0.00901,0.00901,0.00901
22,4062.99,1.3973,0.94808,1.15621,0.46295,0.34586,0.36326,0.19923,1.27308,0.88047,1.10012,0.0089605,0.0089605,0.0089605
23,4247.86,1.396,0.95154,1.15434,0.44638,0.34569,0.35859,0.2035,1.27855,0.89919,1.09575,0.008911,0.008911,0.008911
24,4432.15,1.39009,0.93433,1.142,0.53212,0.34167,0.38049,0.2134,1.26279,0.86283,1.08838,0.0088615,0.0088615,0.0088615
25,4616.62,1.39266,0.94197,1.13893,0.55296,0.33873,0.37551,0.20903,1.25711,0.87163,1.08279,0.008812,0.008812,0.008812
26,4800.49,1.38514,0.93471,1.13795,0.5177,0.33771,0.375,0.20729,1.26125,0.87748,1.08028,0.0087625,0.0087625,0.0087625
27,4984.46,1.38304,0.92852,1.13195,0.55775,0.35168,0.39658,0.22392,1.24974,0.85321,1.0756,0.008713,0.008713,0.008713
28,5167.6,1.37856,0.92237,1.12507,0.50284,0.3859,0.40435,0.22883,1.24493,0.85083,1.07101,0.0086635,0.0086635,0.0086635
29,5349.91,1.37537,0.92354,1.12795,0.49081,0.35267,0.37675,0.21309,1.25306,0.86655,1.07386,0.008614,0.008614,0.008614
30,5535.23,1.36732,0.91547,1.1242,0.52283,0.3616,0.39175,0.22093,1.23566,0.84088,1.06206,0.0085645,0.0085645,0.0085645
31,5719.68,1.3711,0.91945,1.12381,0.53446,0.35663,0.39606,0.22085,1.23387,0.84414,1.06287,0.008515,0.008515,0.008515
32,5903.47,1.36595,0.90935,1.11659,0.51322,0.38741,0.406,0.22438,1.23479,0.83819,1.06181,0.0084655,0.0084655,0.0084655
33,6087.01,1.35908,0.90258,1.11313,0.51411,0.37321,0.40472,0.22884,1.21918,0.83017,1.05493,0.008416,0.008416,0.008416
34,6270.78,1.34987,0.89605,1.11171,0.56559,0.37784,0.41352,0.23725,1.21977,0.82006,1.05346,0.0083665,0.0083665,0.0083665
35,6454.43,1.34757,0.8921,1.10844,0.53791,0.37193,0.40169,0.22882,1.21624,0.82741,1.05048,0.008317,0.008317,0.008317
36,6638.3,1.34227,0.88887,1.10526,0.51548,0.41482,0.41762,0.23473,1.21665,0.81516,1.04843,0.0082675,0.0082675,0.0082675
37,6822.23,1.34501,0.89031,1.10421,0.57987,0.3817,0.41932,0.23946,1.207,0.81166,1.04533,0.008218,0.008218,0.008218
38,7005.52,1.33756,0.88405,1.09994,0.53634,0.40576,0.41994,0.23958,1.20843,0.81365,1.04617,0.0081685,0.0081685,0.0081685
39,7187.08,1.33181,0.88169,1.09821,0.59997,0.35902,0.41421,0.2381,1.20199,0.80575,1.04107,0.008119,0.008119,0.008119
40,7370.61,1.3327,0.87732,1.09848,0.53796,0.39501,0.42229,0.24051,1.20153,0.80612,1.04177,0.0080695,0.0080695,0.0080695
41,7554.11,1.32346,0.86843,1.09374,0.56614,0.38524,0.42072,0.24296,1.19983,0.80186,1.0409,0.00802,0.00802,0.00802
42,7737.13,1.31957,0.86649,1.09397,0.6003,0.39236,0.43197,0.24857,1.18938,0.79162,1.03602,0.0079705,0.0079705,0.0079705
43,7920.08,1.32615,0.86668,1.09119,0.55259,0.39542,0.42453,0.2486,1.19035,0.79328,1.03421,0.007921,0.007921,0.007921
44,8102.51,1.31433,0.86184,1.08979,0.56387,0.39726,0.42909,0.24922,1.19026,0.79593,1.03435,0.0078715,0.0078715,0.0078715
45,8284.94,1.3186,0.86244,1.09059,0.55194,0.40094,0.4322,0.25057,1.18547,0.78793,1.03045,0.007822,0.007822,0.007822
46,8468.15,1.31718,0.85803,1.08826,0.56654,0.39326,0.44247,0.25598,1.18035,0.78526,1.02712,0.0077725,0.0077725,0.0077725
47,8650.87,1.31177,0.854,1.08482,0.60264,0.38918,0.44297,0.25568,1.1797,0.7778,1.03018,0.007723,0.007723,0.007723
48,8833.21,1.30947,0.84943,1.08429,0.59173,0.39106,0.44284,0.25667,1.18002,0.77741,1.02771,0.0076735,0.0076735,0.0076735
49,9016.11,1.30233,0.84779,1.07908,0.61196,0.3748,0.43959,0.25492,1.17688,0.78134,1.02444,0.007624,0.007624,0.007624
50,9199.45,1.30769,0.84925,1.08174,0.56347,0.39395,0.43987,0.25858,1.17465,0.7756,1.0248,0.0075745,0.0075745,0.0075745
51,9382.29,1.30099,0.8469,1.08125,0.62868,0.37719,0.4468,0.2621,1.16914,0.77079,1.02253,0.007525,0.007525,0.007525
52,9565.35,1.29971,0.84045,1.07761,0.57571,0.40162,0.44589,0.26134,1.16965,0.76729,1.02315,0.0074755,0.0074755,0.0074755
53,9748.22,1.29266,0.83645,1.07658,0.61597,0.38959,0.44681,0.26131,1.1678,0.76746,1.02306,0.007426,0.007426,0.007426
54,9931.08,1.29146,0.83397,1.07311,0.64779,0.37876,0.44445,0.26178,1.16425,0.76048,1.01962,0.0073765,0.0073765,0.0073765
55,10114.4,1.29267,0.8342,1.07516,0.61659,0.39656,0.44866,0.26237,1.16328,0.76214,1.01935,0.007327,0.007327,0.007327
56,10297.3,1.29096,0.82788,1.07536,0.61011,0.39238,0.44104,0.26048,1.1587,0.75899,1.01577,0.0072775,0.0072775,0.0072775
57,10480.1,1.28051,0.82608,1.0694,0.59253,0.39595,0.44689,0.2628,1.15916,0.75846,1.01648,0.007228,0.007228,0.007228
58,10663.5,1.28846,0.82346,1.0719,0.59615,0.41136,0.45529,0.26637,1.15514,0.75474,1.01434,0.0071785,0.0071785,0.0071785
59,10846.7,1.28104,0.8241,1.07024,0.56663,0.42646,0.45835,0.26847,1.15691,0.75315,1.01434,0.007129,0.007129,0.007129
60,11029.3,1.28384,0.82565,1.06963,0.62654,0.40191,0.4615,0.26924,1.15523,0.75111,1.01405,0.0070795,0.0070795,0.0070795
61,11212.8,1.27501,0.81298,1.0652,0.60901,0.39537,0.45901,0.26862,1.15385,0.75106,1.01411,0.00703,0.00703,0.00703
62,11395.8,1.28015,0.82051,1.0674,0.58263,0.40263,0.45262,0.26623,1.15334,0.75227,1.01355,0.0069805,0.0069805,0.0069805
63,11579.3,1.27557,0.81191,1.06422,0.59738,0.40081,0.45716,0.26825,1.15171,0.75189,1.01251,0.006931,0.006931,0.006931
64,11762.5,1.27768,0.81904,1.06712,0.60645,0.40883,0.45812,0.26826,1.14801,0.74743,1.0097,0.0068815,0.0068815,0.0068815
65,11945.6,1.27335,0.81401,1.06345,0.58553,0.41025,0.45603,0.26519,1.1492,0.74746,1.01002,0.006832,0.006832,0.006832
66,12128.3,1.27651,0.81557,1.06741,0.60634,0.3999,0.45562,0.26659,1.14873,0.74572,1.00974,0.0067825,0.0067825,0.0067825
67,12311,1.26885,0.80794,1.06261,0.59274,0.40068,0.45368,0.26573,1.14959,0.74555,1.0098,0.006733,0.006733,0.006733
68,12493.8,1.26915,0.80515,1.06124,0.60374,0.39546,0.45112,0.26532,1.14806,0.74447,1.00972,0.0066835,0.0066835,0.0066835
69,12676.4,1.26526,0.80616,1.0593,0.62158,0.39398,0.45505,0.26908,1.1467,0.74216,1.00913,0.006634,0.006634,0.006634
70,12859.6,1.26646,0.80334,1.06058,0.58299,0.41869,0.46275,0.27383,1.14648,0.73989,1.00878,0.0065845,0.0065845,0.0065845
71,13041.9,1.26559,0.80387,1.05991,0.58538,0.42088,0.46594,0.2763,1.1467,0.73996,1.0082,0.006535,0.006535,0.006535
72,13224.9,1.26095,0.79957,1.05674,0.60677,0.42046,0.47051,0.27866,1.14496,0.73809,1.00755,0.0064855,0.0064855,0.0064855
73,13407.3,1.2587,0.79911,1.05591,0.57573,0.42598,0.46963,0.2776,1.14489,0.73828,1.00715,0.006436,0.006436,0.006436
