epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.96,4.19043,4.80644,3.90016,0.81502,0.01175,0.00418,0.00104,3.66907,3.19773,3.02923,0.00331349,0.00331349,0.00331349
2,346.903,3.02575,2.86863,2.32466,0.17267,0.03587,0.02383,0.00871,3.05119,3.30968,2.25799,0.00661392,0.00661392,0.00661392
3,514.292,2.30318,2.03544,1.726,0.50393,0.11607,0.09497,0.04127,2.14494,2.0534,1.66157,0.00988136,0.00988136,0.00988136
4,681.872,1.95888,1.61494,1.47987,0.63491,0.14882,0.14851,0.06841,1.84762,1.82301,1.42494,0.0098515,0.0098515,0.0098515
5,848.007,1.76301,1.38369,1.3647,0.43289,0.23494,0.21871,0.10986,1.57447,1.21013,1.26646,0.009802,0.009802,0.009802
6,1014.53,1.6532,1.25076,1.2977,0.44187,0.24316,0.23105,0.11853,1.52774,1.21594,1.24485,0.0097525,0.0097525,0.0097525
7,1180.06,1.58016,1.1614,1.26089,0.38708,0.22503,0.23936,0.12331,1.53666,1.21087,1.2397,0.009703,0.009703,0.009703
8,1346.26,1.52809,1.10706,1.23117,0.41234,0.299,0.29591,0.15646,1.40457,1.0451,1.16821,0.0096535,0.0096535,0.0096535
9,1512.43,1.49131,1.06167,1.20556,0.46361,0.31669,0.33015,0.17519,1.361,0.985,1.14771,0.009604,0.009604,0.009604
10,1678.24,1.45557,1.02953,1.18896,0.42636,0.30242,0.30627,0.16115,1.35312,1.01458,1.15039,0.0095545,0.0095545,0.0095545
11,1843.74,1.43312,1.00068,1.17562,0.45216,0.35384,0.37146,0.19986,1.29609,0.92629,1.11503,0.009505,0.009505,0.009505
12,2009.6,1.41172,0.9809,1.16867,0.46062,0.33138,0.36014,0.19436,1.28078,0.90322,1.10128,0.0094555,0.0094555,0.0094555
13,2175.23,1.3935,0.95913,1.1532,0.45812,0.34975,0.37629,0.20591,1.26334,0.8918,1.09442,0.009406,0.009406,0.009406
14,2340.59,1.37036,0.93887,1.14606,0.51516,0.36262,0.3842,0.20774,1.25196,0.87176,1.08568,0.0093565,0.0093565,0.0093565
15,2506.24,1.35555,0.92257,1.1378,0.47644,0.3662,0.39226,0.22054,1.2428,0.85865,1.07872,0.009307,0.009307,0.009307
16,2672.24,1.34872,0.91306,1.12897,0.45561,0.39926,0.39531,0.21622,1.25219,0.86111,1.08129,0.0092575,0.0092575,0.0092575
17,2837.41,1.3298,0.89642,1.12435,0.52423,0.38114,0.41914,0.23468,1.21147,0.82695,1.06477,0.009208,0.009208,0.009208
18,3002.53,1.32142,0.88392,1.11684,0.53712,0.36902,0.40893,0.22995,1.23395,0.87321,1.07276,0.0091585,0.0091585,0.0091585
19,3168.49,1.31363,0.87842,1.11065,0.55618,0.37239,0.42843,0.24256,1.19617,0.81275,1.0544,0.009109,0.009109,0.009109
20,3333.82,1.30362,0.86772,1.11001,0.55553,0.41085,0.44033,0.24511,1.19159,0.79958,1.05524,0.0090595,0.0090595,0.0090595
