epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.679,1.66873,2.65434,1.15357,0.63222,0.16504,0.16819,0.09467,1.39885,1.41613,1.02518,0.00331349,0.00331349,0.00331349
2,342.808,1.51593,1.46452,1.07603,0.69426,0.19422,0.20681,0.11386,1.37618,1.26398,1.03352,0.00661392,0.00661392,0.00661392
3,508.258,1.5339,1.36556,1.08354,0.45411,0.18886,0.1687,0.08783,1.50652,1.44724,1.10968,0.00988136,0.00988136,0.00988136
4,672.731,1.53672,1.29516,1.08986,0.40667,0.26671,0.24793,0.13114,1.42066,1.17615,1.04408,0.0098515,0.0098515,0.0098515
5,836.691,1.48545,1.18686,1.07197,0.4629,0.24867,0.24848,0.13141,1.39414,1.15913,1.04226,0.009802,0.009802,0.009802
6,1000.79,1.45311,1.11342,1.05938,0.39024,0.32368,0.30301,0.16583,1.33479,1.04797,0.99993,0.0097525,0.0097525,0.0097525
7,1164.18,1.42659,1.05948,1.04883,0.45639,0.31911,0.32491,0.18193,1.32109,1.0319,1.01068,0.009703,0.009703,0.009703
8,1328.01,1.40663,1.02702,1.04294,0.50297,0.34482,0.35212,0.19249,1.29419,0.98025,0.99567,0.0096535,0.0096535,0.0096535
9,1491.74,1.39297,1.00032,1.03415,0.44794,0.35277,0.34456,0.19202,1.2745,1.00748,0.99877,0.009604,0.009604,0.009604
10,1654.86,1.37188,0.98217,1.02689,0.47578,0.35535,0.37945,0.21425,1.2475,0.93904,0.9808,0.0095545,0.0095545,0.0095545
11,1818.49,1.36524,0.96437,1.02258,0.52108,0.39318,0.39152,0.21425,1.244,0.90805,0.97783,0.009505,0.009505,0.009505
12,1981.2,1.35461,0.95158,1.02157,0.52128,0.36773,0.40176,0.22758,1.23022,0.90551,0.97251,0.0094555,0.0094555,0.0094555
13,2144.65,1.347,0.93619,1.01544,0.53178,0.34839,0.3863,0.22021,1.2134,0.91163,0.97071,0.009406,0.009406,0.009406
14,2307.87,1.33075,0.92198,1.01241,0.49367,0.3724,0.38424,0.21883,1.24142,0.89859,0.97831,0.0093565,0.0093565,0.0093565
15,2470.92,1.32164,0.90853,1.0092,0.5071,0.34743,0.37953,0.21733,1.2205,0.87979,0.97216,0.009307,0.009307,0.009307
16,2634.06,1.32147,0.902,1.00691,0.52086,0.37093,0.38106,0.2183,1.23984,0.87917,0.97589,0.0092575,0.0092575,0.0092575
17,2796.98,1.30939,0.89018,1.00531,0.49494,0.37109,0.39574,0.23002,1.20833,0.86618,0.96301,0.009208,0.009208,0.009208
18,2960.11,1.30696,0.88411,1.00119,0.52267,0.36975,0.39052,0.23336,1.18758,0.87344,0.95544,0.0091585,0.0091585,0.0091585
19,3122.99,1.30136,0.87866,0.99909,0.60055,0.37393,0.41457,0.24403,1.18852,0.84348,0.95871,0.009109,0.009109,0.009109
20,3285.6,1.29693,0.8741,1.00011,0.51458,0.39791,0.41987,0.24591,1.18757,0.83028,0.9568,0.0090595,0.0090595,0.0090595
21,3449.12,1.29261,0.87019,0.99591,0.57064,0.4073,0.44012,0.2569,1.18437,0.82731,0.95676,0.00901,0.00901,0.00901
22,3612.3,1.29066,0.86152,0.99511,0.56125,0.3958,0.4336,0.25256,1.17282,0.82894,0.9538,0.0089605,0.0089605,0.0089605
23,3775.94,1.28348,0.85488,0.99479,0.52602,0.39478,0.42989,0.25177,1.17226,0.83626,0.95109,0.008911,0.008911,0.008911
24,3939.05,1.27736,0.84166,0.98978,0.54092,0.42169,0.44449,0.26148,1.16785,0.8139,0.94961,0.0088615,0.0088615,0.0088615
25,4102.5,1.27879,0.84642,0.98914,0.53886,0.40289,0.43506,0.25322,1.17364,0.81739,0.95376,0.008812,0.008812,0.008812
26,4265.29,1.27064,0.8407,0.98709,0.55135,0.4267,0.44954,0.26151,1.16605,0.80393,0.94836,0.0087625,0.0087625,0.0087625
27,4428.74,1.27018,0.83787,0.98747,0.51218,0.42053,0.43722,0.25747,1.15874,0.80523,0.94954,0.008713,0.008713,0.008713
28,4591.45,1.26822,0.8304,0.98265,0.58913,0.40391,0.43987,0.26201,1.1621,0.81822,0.94893,0.0086635,0.0086635,0.0086635
29,4754.71,1.26492,0.83049,0.98606,0.56597,0.38757,0.44338,0.26405,1.15405,0.78948,0.94556,0.008614,0.008614,0.008614
30,4917.62,1.25826,0.82714,0.98438,0.52142,0.41803,0.43199,0.25548,1.15162,0.81027,0.94606,0.0085645,0.0085645,0.0085645
31,5080.12,1.26156,0.82855,0.98523,0.58107,0.40751,0.46025,0.27218,1.14444,0.78388,0.94,0.008515,0.008515,0.008515
