                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5482,                 1.2326,                 1.2607,                0.44541,                0.35357,                0.36938,                0.20773,                  1.373,                 1.0986,                 1.1827,               0.008317,               0.008317,               0.008317
                     36,                 1.5457,                 1.2273,                 1.2621,                0.47101,                0.37116,                0.38401,                0.21704,                 1.3662,                 1.0929,                 1.1801,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5411,                 1.2194,                 1.2558,                0.46537,                0.36171,                0.37348,                0.21491,                  1.367,                 1.0914,                 1.1763,               0.008218,               0.008218,               0.008218
                     38,                  1.538,                 1.2153,                 1.2543,                0.49921,                0.34083,                0.37015,                0.21262,                 1.3625,                 1.0857,                 1.1764,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5274,                  1.208,                 1.2519,                0.52205,                0.34659,                0.39042,                0.22655,                 1.3528,                 1.0729,                 1.1714,               0.008119,               0.008119,               0.008119
                     40,                 1.5296,                 1.2057,                 1.2497,                0.51157,                0.34409,                0.38388,                0.22052,                 1.3536,                 1.0745,                  1.173,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5225,                 1.1986,                 1.2464,                0.50338,                0.35074,                0.38096,                0.21984,                 1.3518,                 1.0679,                 1.1711,                0.00802,                0.00802,                0.00802
                     42,                 1.5187,                 1.1968,                  1.246,                 0.5013,                0.33736,                0.37827,                0.21683,                 1.3462,                 1.0641,                   1.17,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5195,                 1.1949,                 1.2432,                0.49431,                0.36906,                0.39274,                0.22697,                 1.3454,                 1.0572,                 1.1688,               0.007921,               0.007921,               0.007921
                     44,                 1.5144,                 1.1836,                 1.2387,                0.47944,                0.37836,                0.38936,                0.22635,                 1.3412,                 1.0532,                 1.1646,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5081,                  1.177,                 1.2338,                0.50393,                0.36124,                0.38625,                0.22341,                 1.3414,                 1.0505,                 1.1651,               0.007822,               0.007822,               0.007822
                     46,                 1.5089,                 1.1785,                 1.2364,                0.50519,                0.36534,                0.38504,                0.22432,                 1.3346,                 1.0487,                 1.1596,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.507,                 1.1711,                 1.2348,                 0.4902,                0.38655,                0.39799,                0.23086,                 1.3304,                 1.0437,                 1.1575,               0.007723,               0.007723,               0.007723
                     48,                 1.5042,                 1.1716,                 1.2332,                0.49447,                0.36658,                0.39906,                0.23158,                 1.3295,                 1.0356,                 1.1577,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4989,                 1.1632,                 1.2298,                0.51288,                0.35882,                0.39981,                0.23057,                 1.3257,                 1.0339,                 1.1546,               0.007624,               0.007624,               0.007624
                     50,                 1.4933,                 1.1572,                 1.2281,                0.48546,                0.38665,                0.40381,                0.23485,                 1.3244,                 1.0309,                  1.156,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4953,                 1.1589,                 1.2285,                0.47882,                0.38466,                0.40336,                0.23361,                 1.3254,                 1.0295,                 1.1562,               0.007525,               0.007525,               0.007525
                     52,                 1.4861,                 1.1501,                 1.2251,                0.48176,                0.38669,                0.40004,                0.23156,                 1.3198,                 1.0264,                 1.1521,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4837,                  1.149,                  1.225,                0.49274,                0.37363,                0.40174,                0.23603,                 1.3167,                 1.0214,                 1.1491,               0.007426,               0.007426,               0.007426
                     54,                 1.4854,                 1.1463,                 1.2215,                 0.5018,                0.37806,                0.39937,                0.23321,                  1.316,                 1.0223,                 1.1491,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4809,                 1.1416,                 1.2203,                0.51768,                0.36858,                0.40511,                0.23679,                 1.3148,                  1.018,                  1.148,               0.007327,               0.007327,               0.007327
                     56,                 1.4812,                 1.1397,                   1.22,                0.50057,                0.39456,                0.40989,                0.23751,                 1.3143,                 1.0147,                 1.1479,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4777,                 1.1321,                  1.217,                0.48363,                0.40989,                0.41705,                0.24397,                 1.3123,                 1.0132,                 1.1458,               0.007228,               0.007228,               0.007228
                     58,                 1.4766,                 1.1308,                 1.2163,                0.54033,                0.38391,                 0.4203,                0.24438,                 1.3106,                  1.012,                 1.1444,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4773,                 1.1277,                 1.2161,                0.50197,                0.40001,                 0.4165,                0.24279,                 1.3092,                 1.0098,                 1.1436,               0.007129,               0.007129,               0.007129
                     60,                 1.4771,                 1.1256,                 1.2151,                0.48043,                0.41492,                0.41647,                0.24292,                 1.3079,                 1.0066,                 1.1439,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4704,                 1.1183,                 1.2114,                0.49165,                0.40933,                0.41667,                0.24248,                 1.3093,                 1.0038,                 1.1439,                0.00703,                0.00703,                0.00703
                     62,                 1.4669,                 1.1165,                 1.2111,                0.50116,                0.40247,                0.41502,                0.24212,                 1.3079,                 1.0021,                 1.1428,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4651,                 1.1161,                 1.2085,                0.50649,                0.40641,                0.42135,                0.24525,                 1.3069,                 1.0002,                 1.1418,               0.006931,               0.006931,               0.006931
                     64,                 1.4656,                 1.1152,                 1.2092,                0.49565,                0.42195,                 0.4223,                 0.2454,                  1.306,                 0.9952,                 1.1405,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4602,                 1.1072,                 1.2038,                0.50381,                0.41062,                0.41838,                0.24493,                 1.3046,                0.99451,                 1.1391,               0.006832,               0.006832,               0.006832
                     66,                 1.4611,                 1.1101,                 1.2094,                0.49562,                0.41235,                0.41729,                0.24418,                 1.3038,                  0.994,                 1.1387,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4598,                 1.1033,                 1.2049,                0.46716,                0.41285,                0.41515,                0.24317,                 1.3028,                0.99385,                  1.139,               0.006733,               0.006733,               0.006733
                     68,                 1.4532,                 1.0993,                 1.2015,                  0.504,                0.39604,                0.41727,                0.24498,                  1.301,                0.99145,                 1.1382,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.454,                    1.1,                 1.2025,                0.51177,                0.38848,                0.41711,                0.24479,                 1.2998,                0.98922,                 1.1373,               0.006634,               0.006634,               0.006634
