epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.629,4.11308,4.82878,3.76804,0.30892,0.00543,0.0011,0.00026,3.9267,5.00836,2.97861,0.00331349,0.00331349,0.00331349
2,347.363,3.03961,2.91773,2.32064,0.67559,0.03868,0.03366,0.01298,2.74995,2.44084,2.17982,0.00661392,0.00661392,0.00661392
3,513.346,2.42831,2.2046,1.78924,0.72443,0.06263,0.0597,0.02566,2.35411,2.56235,1.79773,0.00988136,0.00988136,0.00988136
4,678.355,2.10494,1.81697,1.5533,0.49107,0.12731,0.10829,0.05136,1.85837,1.78696,1.43308,0.0098515,0.0098515,0.0098515
5,842.662,1.92471,1.58184,1.44201,0.52812,0.16872,0.15244,0.07462,1.71256,1.45536,1.33717,0.009802,0.009802,0.009802
6,1007.34,1.81667,1.44705,1.37236,0.46145,0.19239,0.17812,0.09012,1.65601,1.30193,1.30259,0.0097525,0.0097525,0.0097525
7,1171.21,1.74741,1.35834,1.33148,0.57906,0.18205,0.21308,0.10828,1.57042,1.255,1.24144,0.009703,0.009703,0.009703
8,1335.83,1.6911,1.29552,1.30052,0.36647,0.1951,0.16342,0.07982,1.68124,1.45823,1.29174,0.0096535,0.0096535,0.0096535
9,1499.75,1.65616,1.24618,1.27426,0.48175,0.24721,0.24524,0.12499,1.51151,1.16849,1.21027,0.009604,0.009604,0.009604
10,1663.91,1.6167,1.21025,1.25143,0.46774,0.25897,0.26497,0.1382,1.47172,1.13153,1.19363,0.0095545,0.0095545,0.0095545
11,1828.22,1.59903,1.18644,1.23856,0.50988,0.28785,0.28749,0.14861,1.43298,1.06555,1.15996,0.009505,0.009505,0.009505
12,1991.98,1.58345,1.16513,1.22696,0.47656,0.27031,0.27657,0.14625,1.44406,1.06803,1.15222,0.0094555,0.0094555,0.0094555
13,2156.67,1.57476,1.14782,1.20847,0.40082,0.29033,0.30069,0.15976,1.42732,1.05456,1.14192,0.009406,0.009406,0.009406
14,2320.62,1.55355,1.12657,1.19917,0.53726,0.30203,0.31649,0.16869,1.40031,1.01775,1.12664,0.0093565,0.0093565,0.0093565
15,2484.35,1.53867,1.11437,1.18662,0.45952,0.30181,0.31547,0.16945,1.39685,1.03008,1.11919,0.009307,0.009307,0.009307
16,2648.93,1.53127,1.10142,1.17525,0.40816,0.2959,0.30815,0.16601,1.39419,1.02241,1.12047,0.0092575,0.0092575,0.0092575
17,2812.98,1.5133,1.08583,1.16902,0.46208,0.30116,0.33447,0.18252,1.37249,0.98728,1.10036,0.009208,0.009208,0.009208
18,2977.06,1.50875,1.07427,1.15959,0.38634,0.33186,0.33575,0.18488,1.36244,0.98638,1.09603,0.0091585,0.0091585,0.0091585
19,3141.58,1.4986,1.06541,1.15073,0.44856,0.31895,0.34353,0.19086,1.35748,0.97244,1.08807,0.009109,0.009109,0.009109
20,3305.67,1.48972,1.0576,1.14865,0.46839,0.31361,0.35544,0.1937,1.35286,0.96786,1.09195,0.0090595,0.0090595,0.0090595
21,3470.27,1.48338,1.05186,1.14079,0.48196,0.33432,0.36461,0.19717,1.33153,0.95425,1.07609,0.00901,0.00901,0.00901
22,3635.21,1.47723,1.03733,1.13514,0.48755,0.34726,0.36275,0.20107,1.33499,0.95077,1.07704,0.0089605,0.0089605,0.0089605
23,3800.47,1.46564,1.03358,1.13362,0.46864,0.31859,0.34765,0.19235,1.33341,0.9719,1.07527,0.008911,0.008911,0.008911
24,3964.75,1.45553,1.01357,1.12157,0.44025,0.34166,0.36576,0.20538,1.30938,0.92978,1.06066,0.0088615,0.0088615,0.0088615
25,4129.66,1.4563,1.01585,1.11964,0.47951,0.34878,0.36744,0.20515,1.30408,0.93017,1.05832,0.008812,0.008812,0.008812
26,4294.15,1.44617,1.00834,1.11687,0.43632,0.34925,0.37345,0.21055,1.30728,0.92296,1.0565,0.0087625,0.0087625,0.0087625
27,4458.87,1.44043,1.00072,1.11127,0.50388,0.36507,0.38492,0.21681,1.29883,0.9158,1.05338,0.008713,0.008713,0.008713
28,4622.82,1.43458,0.99315,1.10362,0.48935,0.37143,0.38756,0.21962,1.29421,0.91527,1.04988,0.0086635,0.0086635,0.0086635
29,4786.95,1.43003,0.99095,1.10679,0.48834,0.3295,0.36915,0.20779,1.2898,0.92061,1.04894,0.008614,0.008614,0.008614
30,4950.79,1.42327,0.98488,1.10343,0.47283,0.37153,0.38728,0.21855,1.2775,0.89491,1.0451,0.0085645,0.0085645,0.0085645
31,5114.27,1.42301,0.98476,1.10205,0.4605,0.38679,0.38906,0.22296,1.27476,0.89788,1.03992,0.008515,0.008515,0.008515
32,5278.18,1.41646,0.97332,1.09468,0.45518,0.391,0.39677,0.22755,1.27168,0.88708,1.03746,0.0084655,0.0084655,0.0084655
33,5441.8,1.41167,0.96499,1.09192,0.49534,0.35729,0.39357,0.22548,1.26541,0.88882,1.0375,0.008416,0.008416,0.008416
34,5605.53,1.40324,0.95969,1.09067,0.51384,0.36491,0.39812,0.22889,1.2651,0.87468,1.03408,0.0083665,0.0083665,0.0083665
35,5769.4,1.39931,0.95447,1.08751,0.47812,0.37469,0.39158,0.22324,1.26719,0.87986,1.03267,0.008317,0.008317,0.008317
36,5933.65,1.39279,0.95145,1.08369,0.50068,0.37115,0.40323,0.23202,1.25432,0.87441,1.03006,0.0082675,0.0082675,0.0082675
37,6097.64,1.39884,0.95406,1.08491,0.46921,0.39482,0.40165,0.23071,1.25552,0.87852,1.03126,0.008218,0.008218,0.008218
38,6261.98,1.38837,0.94687,1.08015,0.48726,0.37748,0.40549,0.23354,1.24592,0.86901,1.02689,0.0081685,0.0081685,0.0081685
39,6425.77,1.3837,0.94487,1.07698,0.49802,0.38146,0.40487,0.23049,1.24304,0.85665,1.02551,0.008119,0.008119,0.008119
40,6588.75,1.38154,0.93712,1.07597,0.49121,0.41017,0.41081,0.23406,1.2437,0.85496,1.02205,0.0080695,0.0080695,0.0080695
41,6753.11,1.37252,0.93041,1.0706,0.48686,0.39237,0.41062,0.23562,1.23193,0.85046,1.01978,0.00802,0.00802,0.00802
42,6917.59,1.36971,0.92704,1.0716,0.48393,0.39877,0.41443,0.23779,1.23272,0.84698,1.01711,0.0079705,0.0079705,0.0079705
43,7081.39,1.37378,0.92699,1.0692,0.47494,0.41001,0.41177,0.23803,1.23082,0.84431,1.01569,0.007921,0.007921,0.007921
44,7245.45,1.36246,0.91987,1.06596,0.49919,0.37184,0.40965,0.23555,1.23373,0.85332,1.01716,0.0078715,0.0078715,0.0078715
45,7410.32,1.3668,0.92348,1.06851,0.4985,0.39389,0.41314,0.2363,1.22672,0.84115,1.01347,0.007822,0.007822,0.007822
46,7574.87,1.3659,0.91946,1.06613,0.49248,0.40282,0.41638,0.24012,1.22294,0.8437,1.01322,0.0077725,0.0077725,0.0077725
47,7739.64,1.35938,0.91486,1.06049,0.50974,0.38006,0.41551,0.23968,1.21714,0.83833,1.00956,0.007723,0.007723,0.007723
48,7904.12,1.35906,0.9117,1.06167,0.50832,0.41333,0.42842,0.24756,1.21742,0.83101,1.0118,0.0076735,0.0076735,0.0076735
49,8068.91,1.34816,0.90571,1.05578,0.47473,0.40825,0.4185,0.24272,1.21497,0.82889,1.00762,0.007624,0.007624,0.007624
50,8233.44,1.35448,0.90954,1.05666,0.50258,0.39391,0.41627,0.24052,1.21372,0.83145,1.00631,0.0075745,0.0075745,0.0075745
51,8398.31,1.34666,0.90559,1.05511,0.5549,0.37869,0.42021,0.24471,1.21507,0.82988,1.00634,0.007525,0.007525,0.007525
52,8563.04,1.3448,0.89938,1.05303,0.54363,0.37939,0.42775,0.24617,1.20902,0.82534,1.00337,0.0074755,0.0074755,0.0074755
53,8727.5,1.33969,0.8939,1.05193,0.5639,0.38497,0.43001,0.247,1.20988,0.82489,1.0035,0.007426,0.007426,0.007426
54,8892.15,1.33914,0.89338,1.04939,0.50196,0.40097,0.42532,0.24398,1.20559,0.82308,1.00134,0.0073765,0.0073765,0.0073765
55,9056.7,1.33895,0.89326,1.04824,0.5243,0.39399,0.4285,0.24688,1.20659,0.81849,1.00067,0.007327,0.007327,0.007327
56,9221.21,1.33478,0.88531,1.0465,0.51576,0.39892,0.42986,0.24915,1.20124,0.81783,0.99798,0.0072775,0.0072775,0.0072775
57,9385.85,1.32914,0.88346,1.04427,0.51617,0.40742,0.42961,0.24998,1.20161,0.8146,0.99848,0.007228,0.007228,0.007228
58,9550.93,1.33267,0.88053,1.04449,0.5155,0.40509,0.43122,0.25073,1.19791,0.81225,0.99675,0.0071785,0.0071785,0.0071785
59,9716.02,1.32523,0.88134,1.0411,0.53304,0.41522,0.43154,0.24974,1.19673,0.81242,0.99516,0.007129,0.007129,0.007129
60,9880.07,1.32844,0.88201,1.04122,0.52846,0.41251,0.4329,0.2505,1.19338,0.81385,0.99266,0.0070795,0.0070795,0.0070795
61,10045.2,1.31951,0.87175,1.03763,0.54429,0.41044,0.43534,0.25263,1.19143,0.81117,0.99165,0.00703,0.00703,0.00703
62,10209.4,1.32543,0.876,1.0389,0.54653,0.39936,0.43569,0.25359,1.19199,0.81093,0.9923,0.0069805,0.0069805,0.0069805
