epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.469,4.06601,4.52482,3.70827,0.82619,0.016,0.00723,0.00222,3.603,3.02223,3.07,0.00331349,0.00331349,0.00331349
2,340.477,2.8365,2.59484,2.17879,0.50419,0.07099,0.06291,0.02694,2.31699,1.9124,1.82355,0.00661392,0.00661392,0.00661392
3,504.54,2.24191,1.947,1.6863,0.6866,0.06928,0.07551,0.03468,2.06002,2.01262,1.65693,0.00988136,0.00988136,0.00988136
4,667.934,1.91849,1.55803,1.46353,0.42689,0.16749,0.15915,0.07863,1.73279,1.40121,1.38356,0.0098515,0.0098515,0.0098515
5,830.341,1.73087,1.33992,1.3533,0.50739,0.20508,0.20106,0.10238,1.56052,1.25465,1.27863,0.009802,0.009802,0.009802
6,993.459,1.62562,1.21588,1.29026,0.47199,0.23655,0.25522,0.1336,1.48011,1.08978,1.21816,0.0097525,0.0097525,0.0097525
7,1155.59,1.55572,1.1322,1.25222,0.39977,0.2583,0.25631,0.13413,1.46101,1.07577,1.20216,0.009703,0.009703,0.009703
8,1317.97,1.50339,1.07561,1.22395,0.41462,0.29262,0.29981,0.16111,1.37241,0.99341,1.15914,0.0096535,0.0096535,0.0096535
9,1480.6,1.46736,1.03175,1.20122,0.44769,0.31601,0.33468,0.18056,1.33314,0.94595,1.1392,0.009604,0.009604,0.009604
10,1643.06,1.43045,0.99978,1.18379,0.42612,0.32712,0.32892,0.18198,1.32175,0.95737,1.13629,0.0095545,0.0095545,0.0095545
11,1805.32,1.41062,0.9733,1.17173,0.46721,0.32613,0.355,0.19542,1.28181,0.89825,1.11092,0.009505,0.009505,0.009505
12,1967.69,1.38963,0.95178,1.16505,0.45709,0.36461,0.3758,0.20608,1.28075,0.89645,1.10794,0.0094555,0.0094555,0.0094555
13,2130.08,1.37292,0.93105,1.15104,0.49654,0.37459,0.38348,0.21537,1.24025,0.87732,1.08881,0.009406,0.009406,0.009406
14,2292.21,1.3497,0.90991,1.14499,0.48966,0.38098,0.3938,0.218,1.23837,0.85487,1.08713,0.0093565,0.0093565,0.0093565
15,2454.65,1.33263,0.8943,1.1348,0.48737,0.39495,0.40103,0.22425,1.2208,0.84275,1.07769,0.009307,0.009307,0.009307
16,2617.38,1.32634,0.88161,1.1268,0.54621,0.36999,0.40447,0.23021,1.21905,0.82662,1.0738,0.0092575,0.0092575,0.0092575
17,2779.29,1.30836,0.86849,1.12232,0.49909,0.40319,0.41419,0.2335,1.20259,0.81579,1.0651,0.009208,0.009208,0.009208
18,2941.11,1.29946,0.85492,1.1136,0.53523,0.37703,0.40706,0.23263,1.21493,0.8353,1.07245,0.0091585,0.0091585,0.0091585
19,3103.37,1.29312,0.84654,1.10826,0.5406,0.39464,0.42604,0.24288,1.1885,0.79618,1.05888,0.009109,0.009109,0.009109
20,3265.25,1.28368,0.84006,1.10781,0.57084,0.39624,0.42781,0.24314,1.17696,0.78701,1.05276,0.0090595,0.0090595,0.0090595
21,3427.55,1.27664,0.83198,1.10114,0.59596,0.38981,0.43638,0.2526,1.16249,0.78623,1.0473,0.00901,0.00901,0.00901
22,3590.05,1.26908,0.82207,1.09595,0.60388,0.37447,0.43705,0.25355,1.17008,0.78623,1.05012,0.0089605,0.0089605,0.0089605
23,3753.33,1.25995,0.8154,1.09631,0.55113,0.40376,0.44283,0.25605,1.17077,0.78399,1.04834,0.008911,0.008911,0.008911
24,3915.58,1.25004,0.801,1.0864,0.55101,0.43408,0.45024,0.25677,1.16063,0.77325,1.04474,0.0088615,0.0088615,0.0088615
25,4077.64,1.25152,0.8014,1.08566,0.58369,0.40935,0.44621,0.2598,1.15397,0.77474,1.04167,0.008812,0.008812,0.008812
26,4239.63,1.24036,0.79347,1.08308,0.56284,0.4279,0.45775,0.26597,1.14306,0.7552,1.03589,0.0087625,0.0087625,0.0087625
27,4402.07,1.23597,0.78804,1.07968,0.52765,0.44108,0.44902,0.26041,1.14145,0.7544,1.03444,0.008713,0.008713,0.008713
28,4564,1.22944,0.77899,1.07263,0.62414,0.41208,0.46278,0.26986,1.12884,0.74759,1.02678,0.0086635,0.0086635,0.0086635
29,4725.99,1.22896,0.78236,1.0754,0.52192,0.45291,0.46356,0.27075,1.13627,0.74702,1.02754,0.008614,0.008614,0.008614
30,4888.14,1.23154,0.78394,1.07047,0.58851,0.43724,0.47321,0.27718,1.13254,0.74068,1.02629,0.0085645,0.0085645,0.0085645
31,5049.82,1.24066,0.78894,1.07177,0.59064,0.41979,0.4598,0.26782,1.14061,0.75324,1.02718,0.008515,0.008515,0.008515
32,5211.81,1.23712,0.78294,1.06393,0.54015,0.45018,0.47369,0.27496,1.13829,0.74766,1.02314,0.0084655,0.0084655,0.0084655
33,5373.56,1.23488,0.77819,1.05937,0.59795,0.40372,0.46968,0.2768,1.13119,0.74257,1.0186,0.008416,0.008416,0.008416
34,5535.36,1.22645,0.77291,1.05797,0.58991,0.43296,0.47437,0.27818,1.13484,0.73906,1.01733,0.0083665,0.0083665,0.0083665
35,5696.97,1.22623,0.77291,1.05466,0.60474,0.43046,0.48048,0.28544,1.13109,0.73335,1.01597,0.008317,0.008317,0.008317
36,5858.83,1.22144,0.77009,1.05056,0.60852,0.43349,0.48059,0.28208,1.13574,0.7395,1.01426,0.0082675,0.0082675,0.0082675
37,6020.76,1.22496,0.7718,1.04988,0.6412,0.44162,0.48427,0.2869,1.12381,0.73107,1.01029,0.008218,0.008218,0.008218
38,6182.89,1.21525,0.764,1.04543,0.65537,0.45205,0.49049,0.28933,1.1194,0.73059,1.0074,0.0081685,0.0081685,0.0081685
39,6344.63,1.20992,0.75966,1.04154,0.63495,0.43725,0.48366,0.28716,1.1182,0.72421,1.00642,0.008119,0.008119,0.008119
40,6505.69,1.20964,0.75678,1.04152,0.57936,0.48031,0.49154,0.29025,1.11973,0.72518,1.0072,0.0080695,0.0080695,0.0080695
41,6667.67,1.20123,0.75212,1.0379,0.57698,0.46248,0.49082,0.29134,1.11474,0.71882,1.00379,0.00802,0.00802,0.00802
42,6829.74,1.19598,0.7467,1.0376,0.62623,0.45051,0.49995,0.29739,1.11211,0.72098,1.00288,0.0079705,0.0079705,0.0079705
43,6991.06,1.20195,0.74829,1.03635,0.59097,0.4502,0.49032,0.2923,1.1096,0.71674,1.00142,0.007921,0.007921,0.007921
44,7152.38,1.19083,0.74264,1.03286,0.57299,0.45338,0.491,0.29244,1.10977,0.71627,1.00189,0.0078715,0.0078715,0.0078715
45,7313.64,1.1941,0.74266,1.03469,0.61294,0.45528,0.49312,0.29556,1.10366,0.71663,0.99741,0.007822,0.007822,0.007822
46,7475.64,1.19269,0.74035,1.03319,0.62612,0.44634,0.49756,0.2974,1.10177,0.70717,0.99794,0.0077725,0.0077725,0.0077725
47,7636.62,1.1865,0.7353,1.02893,0.57854,0.48732,0.50436,0.30071,1.09913,0.7059,0.99661,0.007723,0.007723,0.007723
48,7797.82,1.18474,0.73192,1.02808,0.64949,0.44242,0.4972,0.29731,1.10008,0.71029,0.99449,0.0076735,0.0076735,0.0076735
49,7960.08,1.17795,0.727,1.02391,0.62078,0.44646,0.49277,0.29527,1.09692,0.70458,0.99442,0.007624,0.007624,0.007624
50,8122.16,1.18236,0.72939,1.02516,0.6049,0.46914,0.49351,0.29441,1.09777,0.70506,0.99463,0.0075745,0.0075745,0.0075745
51,8284.14,1.17568,0.72541,1.02489,0.62347,0.4694,0.50172,0.30143,1.09094,0.69815,0.99155,0.007525,0.007525,0.007525
52,8446.34,1.17296,0.7209,1.02107,0.6033,0.45791,0.50609,0.30584,1.09112,0.69825,0.99069,0.0074755,0.0074755,0.0074755
53,8608.43,1.17002,0.71805,1.02149,0.60351,0.46505,0.50444,0.30085,1.09238,0.69778,0.9924,0.007426,0.007426,0.007426
