epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7006.2,1.24252,0.79277,1.03586,0.6164,0.4453,0.49608,0.28712,1.13058,0.74488,0.99461,0.007921,0.007921,0.007921
44,7168.31,1.22987,0.78532,1.03222,0.63177,0.43825,0.49509,0.29076,1.12678,0.73888,0.99074,0.0078715,0.0078715,0.0078715
45,7330.79,1.23265,0.78604,1.0333,0.63211,0.45729,0.49734,0.29371,1.12132,0.73516,0.98789,0.007822,0.007822,0.007822
46,7493.26,1.2307,0.78355,1.03111,0.61717,0.45091,0.49751,0.29513,1.11931,0.73422,0.98628,0.0077725,0.0077725,0.0077725
47,7655.03,1.22668,0.77795,1.02846,0.62496,0.45722,0.50001,0.29836,1.11747,0.73099,0.98589,0.007723,0.007723,0.007723
48,7817.22,1.22315,0.77494,1.02715,0.62229,0.45338,0.50368,0.30002,1.11504,0.72754,0.98502,0.0076735,0.0076735,0.0076735
49,7979.72,1.21513,0.77042,1.02303,0.61618,0.45438,0.49852,0.29756,1.1176,0.72789,0.98504,0.007624,0.007624,0.007624
50,8142.49,1.21977,0.77159,1.0231,0.59573,0.46829,0.50168,0.29687,1.11588,0.72581,0.9842,0.0075745,0.0075745,0.0075745
51,8305.12,1.21525,0.76898,1.02418,0.64346,0.46293,0.50994,0.30241,1.1126,0.72075,0.98388,0.007525,0.007525,0.007525
52,8467.63,1.2099,0.76298,1.02053,0.63889,0.45839,0.51649,0.30724,1.10929,0.7216,0.983,0.0074755,0.0074755,0.0074755
53,8629.94,1.20521,0.75864,1.01981,0.65993,0.45634,0.51246,0.30464,1.10745,0.71812,0.98044,0.007426,0.007426,0.007426
54,8792.13,1.20322,0.75727,1.01582,0.64382,0.46565,0.50996,0.30216,1.10501,0.71882,0.98057,0.0073765,0.0073765,0.0073765
55,8954.52,1.2047,0.75905,1.01709,0.65912,0.45033,0.50756,0.30256,1.1046,0.7173,0.97849,0.007327,0.007327,0.007327
56,9117.07,1.2012,0.75171,1.01565,0.65466,0.4588,0.5126,0.30649,1.10188,0.71414,0.97685,0.0072775,0.0072775,0.0072775
57,9279.22,1.19391,0.75022,1.01232,0.62307,0.46563,0.50785,0.30621,1.1009,0.71399,0.97718,0.007228,0.007228,0.007228
58,9441.73,1.19994,0.74974,1.01387,0.63592,0.4682,0.51829,0.31153,1.10029,0.70916,0.97769,0.0071785,0.0071785,0.0071785
59,9604.39,1.19033,0.74667,1.01117,0.63074,0.46327,0.52058,0.31454,1.09982,0.70832,0.97631,0.007129,0.007129,0.007129
60,9766.19,1.19222,0.74676,1.0107,0.62259,0.48075,0.51973,0.31048,1.09663,0.70672,0.97472,0.0070795,0.0070795,0.0070795
61,9928.99,1.18345,0.73622,1.00619,0.62944,0.467,0.51897,0.31137,1.09532,0.70485,0.97437,0.00703,0.00703,0.00703
62,10091.5,1.18886,0.74229,1.00789,0.63902,0.45722,0.51677,0.31014,1.09276,0.70546,0.97366,0.0069805,0.0069805,0.0069805
63,10254.5,1.18362,0.73536,1.00412,0.62288,0.46902,0.51506,0.30832,1.09185,0.70667,0.97238,0.006931,0.006931,0.006931
