epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8646.42,3.12382,2.13023,2.1276,0.54082,0.38188,0.40754,0.23468,2.78297,1.96892,2.02521,0.0079705,0.0079705,0.0079705
43,8851.71,3.12368,2.12705,2.11828,0.53898,0.38625,0.41416,0.23955,2.77001,1.95525,2.01895,0.007921,0.007921,0.007921
44,9056.95,3.12201,2.11364,2.11923,0.57263,0.37246,0.41463,0.23656,2.77356,1.9587,2.02111,0.0078715,0.0078715,0.0078715
45,9261.64,3.11986,2.10551,2.11687,0.56549,0.3744,0.41034,0.23655,2.77752,1.96044,2.02032,0.007822,0.007822,0.007822
46,9466.78,3.10866,2.0984,2.11171,0.57428,0.36586,0.41325,0.23782,2.76847,1.95378,2.01671,0.0077725,0.0077725,0.0077725
47,9671.91,3.10227,2.08824,2.10982,0.54009,0.37598,0.41459,0.24005,2.75828,1.93561,2.01022,0.007723,0.007723,0.007723
48,9877.11,3.09757,2.07799,2.10655,0.54356,0.38588,0.41563,0.23904,2.75045,1.92786,2.00951,0.0076735,0.0076735,0.0076735
49,10083.1,3.08687,2.07416,2.10163,0.54241,0.37452,0.40915,0.23597,2.75025,1.93767,2.00741,0.007624,0.007624,0.007624
50,10288.8,3.09281,2.07649,2.09918,0.55619,0.38185,0.41659,0.24115,2.74916,1.93035,2.00577,0.0075745,0.0075745,0.0075745
51,10494.7,3.07911,2.07293,2.09825,0.55818,0.37552,0.41155,0.24034,2.7428,1.92785,2.00383,0.007525,0.007525,0.007525
52,10700.4,3.06795,2.05363,2.09812,0.54765,0.38705,0.42036,0.24329,2.73968,1.91937,2.0043,0.0074755,0.0074755,0.0074755
53,10905.8,3.078,2.06336,2.09695,0.5749,0.38222,0.41417,0.24092,2.73977,1.91594,2.00318,0.007426,0.007426,0.007426
54,11110.8,3.05453,2.0417,2.08932,0.55855,0.39236,0.42146,0.24378,2.73333,1.90841,2.00178,0.0073765,0.0073765,0.0073765
55,11316.5,3.05595,2.03781,2.09168,0.57315,0.37326,0.42275,0.24561,2.72387,1.90077,1.99766,0.007327,0.007327,0.007327
56,11522,3.05001,2.03385,2.08344,0.57321,0.38857,0.42692,0.24721,2.72107,1.90255,1.9969,0.0072775,0.0072775,0.0072775
57,11727,3.04379,2.02477,2.07925,0.55662,0.40185,0.42691,0.24677,2.71448,1.89385,1.9925,0.007228,0.007228,0.007228
58,11932.9,3.0568,2.03313,2.07985,0.57527,0.39469,0.43144,0.25058,2.71372,1.88986,1.99326,0.0071785,0.0071785,0.0071785
59,12138.5,3.04876,2.01254,2.07802,0.5864,0.38449,0.43282,0.25241,2.7138,1.88382,1.9919,0.007129,0.007129,0.007129
60,12343.4,3.04104,2.01298,2.07654,0.56365,0.3845,0.42524,0.2493,2.70944,1.87766,1.9902,0.0070795,0.0070795,0.0070795
61,12548.9,3.0361,2.0087,2.07335,0.56338,0.37858,0.42554,0.24895,2.70442,1.88263,1.98679,0.00703,0.00703,0.00703
62,12754,3.03413,2.0016,2.07156,0.58008,0.37845,0.42886,0.24999,2.70408,1.87716,1.98554,0.0069805,0.0069805,0.0069805
63,12959.6,3.02438,1.993,2.06768,0.58811,0.37314,0.43164,0.2527,2.70333,1.87104,1.98609,0.006931,0.006931,0.006931
64,13164.9,3.02293,1.99292,2.06623,0.5851,0.37928,0.43504,0.25545,2.6985,1.86514,1.98372,0.0068815,0.0068815,0.0068815
65,13370.3,3.01804,1.98712,2.0605,0.58688,0.37804,0.43636,0.25737,2.69284,1.86917,1.98208,0.006832,0.006832,0.006832
66,13575,3.01327,1.98438,2.06432,0.58107,0.39656,0.4346,0.2569,2.69157,1.86582,1.98203,0.0067825,0.0067825,0.0067825
67,13780.3,3.00363,1.97175,2.06411,0.5632,0.39965,0.43313,0.25647,2.68916,1.8578,1.9798,0.006733,0.006733,0.006733
68,13985.8,3.00017,1.96426,2.05568,0.57038,0.40338,0.43386,0.25677,2.68593,1.85554,1.97867,0.0066835,0.0066835,0.0066835
69,14191,3.00407,1.97338,2.05634,0.55467,0.40594,0.43397,0.25689,2.68653,1.85416,1.97765,0.006634,0.006634,0.006634
70,14396.3,2.99494,1.95374,2.0533,0.58308,0.38883,0.43249,0.25587,2.683,1.85056,1.97601,0.0065845,0.0065845,0.0065845
71,14601.4,2.99242,1.95638,2.05379,0.55587,0.39648,0.43596,0.2584,2.67757,1.84805,1.97475,0.006535,0.006535,0.006535
72,14806.9,2.97957,1.95282,2.04981,0.57674,0.38546,0.43602,0.2578,2.67522,1.8451,1.97391,0.0064855,0.0064855,0.0064855
73,15011.8,2.98767,1.94846,2.04986,0.59952,0.38271,0.43643,0.25825,2.67429,1.84374,1.97363,0.006436,0.006436,0.006436
74,15217.4,2.97855,1.94179,2.04341,0.59159,0.38213,0.43648,0.25847,2.67455,1.84204,1.97435,0.0063865,0.0063865,0.0063865
75,15423.3,2.98266,1.94622,2.04577,0.59293,0.38494,0.43468,0.25774,2.67246,1.839,1.97202,0.006337,0.006337,0.006337
76,15628.5,2.97887,1.93237,2.04259,0.57565,0.38871,0.43536,0.25814,2.67129,1.83697,1.97084,0.0062875,0.0062875,0.0062875
77,15833.6,2.96467,1.93863,2.04493,0.55388,0.39865,0.43655,0.25876,2.67204,1.83366,1.97075,0.006238,0.006238,0.006238
78,16038.6,2.96808,1.92419,2.04007,0.58628,0.38068,0.43868,0.2602,2.66904,1.82892,1.96995,0.0061885,0.0061885,0.0061885
79,16244.5,2.96756,1.92459,2.04039,0.58053,0.3872,0.44042,0.26136,2.66556,1.82617,1.96831,0.006139,0.006139,0.006139
80,16449.8,2.95487,1.9139,2.03522,0.55875,0.39978,0.44073,0.26098,2.6647,1.82739,1.96753,0.0060895,0.0060895,0.0060895
81,16655.2,2.95518,1.90742,2.03377,0.56068,0.39545,0.44028,0.26135,2.66298,1.82683,1.96648,0.00604,0.00604,0.00604
82,16861,2.95022,1.91287,2.03743,0.54127,0.40246,0.44057,0.26165,2.66454,1.82466,1.96715,0.0059905,0.0059905,0.0059905
83,17067.2,2.94649,1.90641,2.03185,0.5426,0.40767,0.43913,0.26204,2.6645,1.82245,1.96702,0.005941,0.005941,0.005941
